,name,price,top_prize,remaining_top_prizes,chances_to_win,game_start_date,last_date_to_claim,probability,prize_amount,prize_start_num,prize_remaining_num
0,"$10,000 Ca$h",10.0,10000.0,123,27,09/18/2023,,3.42,10000.0,132,123
1,"$10,000 Ca$h",10.0,10000.0,123,27,09/18/2023,,3.42,1000.0,50,45
2,"$10,000 Ca$h",10.0,10000.0,123,27,09/18/2023,,3.42,500.0,1529,1424
3,"$10,000 Ca$h",10.0,10000.0,123,27,09/18/2023,,3.42,200.0,2563,2353
4,"$10,000 Ca$h",10.0,10000.0,123,27,09/18/2023,,3.42,100.0,11231,10290
5,"$10,000 Ca$h",10.0,10000.0,123,27,09/18/2023,,3.42,50.0,212444,195326
6,"$10,000 Ca$h",10.0,10000.0,123,27,09/18/2023,,3.42,20.0,133883,123176
7,"$10,000 Ca$h",10.0,10000.0,123,27,09/18/2023,,3.42,15.0,211205,194484
8,"$10,000 Ca$h",10.0,10000.0,123,27,09/18/2023,,3.42,10.0,353343,325730
9,"$100,000 Ca$h",30.0,100000.0,65,43,09/18/2023,,2.79,100000.0,65,65
10,"$100,000 Ca$h",30.0,100000.0,65,43,09/18/2023,,2.79,5000.0,40,39
11,"$100,000 Ca$h",30.0,100000.0,65,43,09/18/2023,,2.79,500.0,17703,17289
12,"$100,000 Ca$h",30.0,100000.0,65,43,09/18/2023,,2.79,200.0,64375,62791
13,"$100,000 Ca$h",30.0,100000.0,65,43,09/18/2023,,2.79,100.0,171250,167021
14,"$100,000 Ca$h",30.0,100000.0,65,43,09/18/2023,,2.79,50.0,223412,217967
15,"$100,000 Ca$h",30.0,100000.0,65,43,09/18/2023,,2.79,40.0,299903,292690
16,"$100,000 Ca$h",30.0,100000.0,65,43,09/18/2023,,2.79,30.0,485658,473847
17,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,50000.0,8,6
18,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,5000.0,14,13
19,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,1000.0,28,27
20,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,500.0,593,547
21,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,250.0,1037,944
22,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,100.0,2941,2718
23,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,50.0,25420,23407
24,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,25.0,74785,68930
25,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,20.0,16763,15403
26,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,15.0,236058,217783
27,Cash Boom,5.0,50000.0,6,18,09/18/2023,,3.99,10.0,734248,677370
28,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,50000.0,8,7
29,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,10000.0,14,14
30,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,1000.0,47,44
31,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,150.0,1310,1264
32,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,100.0,2290,2158
33,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,90.0,5175,4938
34,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,75.0,8708,8350
35,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,50.0,11537,11009
36,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,30.0,64798,61788
37,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,20.0,74267,70824
38,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,15.0,119715,114144
39,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,10.0,358326,341908
40,Deluxe Crossword,5.0,50000.0,7,,09/18/2023,,3.47,5.0,474479,453065
41,"$100,000 Crossword",10.0,100000.0,8,7,08/21/2023,,3.09,100000.0,8,8
42,"$100,000 Crossword",10.0,100000.0,8,7,08/21/2023,,3.09,10000.0,13,12
43,"$100,000 Crossword",10.0,100000.0,8,7,08/21/2023,,3.09,1000.0,32,27
44,"$100,000 Crossword",10.0,100000.0,8,7,08/21/2023,,3.09,500.0,547,455
45,"$100,000 Crossword",10.0,100000.0,8,7,08/21/2023,,3.09,100.0,7768,6393
46,"$100,000 Crossword",10.0,100000.0,8,7,08/21/2023,,3.09,50.0,180538,148783
47,"$100,000 Crossword",10.0,100000.0,8,7,08/21/2023,,3.09,20.0,214102,176350
48,"$100,000 Crossword",10.0,100000.0,8,7,08/21/2023,,3.09,10.0,465145,384461
49,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,100000.0,8,7
50,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,10000.0,13,10
51,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,5000.0,26,21
52,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,2000.0,26,20
53,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,1000.0,26,21
54,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,800.0,322,269
55,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,600.0,402,312
56,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,500.0,429,340
57,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,300.0,402,314
58,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,250.0,1341,1079
